"BehaviorSpace results (NetLogo 5.2.1)"
"trust01_v8.nlogo"
"experiment200"
"11/03/2015 17:19:43:644 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","30","0","31"
"[run number]","confirmationSkeptic","_network_type","proportionSkeptic","discovery_type","_nodes","_log","_exportMovie","[step]","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP"
"5","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","47","201","149","109","88","1","1"
"6","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","36","201","107","143","0","1","1"
"5","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","48","201","152","109","92","1","1"
"6","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","37","201","109","147","0","1","1"
"6","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","38","201","112","153","0","1","1"
"6","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","39","201","117","159","0","1","1"
"6","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","40","201","118","165","0","1","1"
"6","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","41","201","118","172","0","1","1"
"6","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","42","201","122","178","0","1","1"
"6","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","43","201","125","183","0","1","1"
"1","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","0","201","0","1","1","1","0.5"
"6","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","44","201","127","187","0","1","1"
"1","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","1","201","1","2","2","1","0.5"
"6","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","45","201","129","193","0","1","1"
"1","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","2","201","3","3","4","1","0.5"
"1","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","3","201","4","4","5","1","0.5"
"1","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","4","201","6","5","6","1","0.5"
"1","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","5","201","7","6","7","1","0.5"
"6","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","46","201","132","196","0","1","1"
"1","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","6","201","9","7","8","1","0.5"
"1","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","7","201","10","8","10","1","0.5"
"1","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","8","201","12","10","11","1","0.5"
"1","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","9","201","14","13","12","1","0.5"
"1","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","10","201","17","17","14","1","0.5"
"6","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","47","201","134","198","0","1","1"
"1","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","11","201","22","20","16","1","0.5"
"6","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","48","201","135","201","0","1","1"
"1","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","12","201","28","23","18","1","0.5"
"7","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","0","201","0","1","1","0.25","1"
"7","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","1","201","1","2","2","0.25","1"
"7","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","2","201","3","3","3","0.25","1"
"7","95","""small-world""","50","""lazyP-skepticNotP""","200","true","false","3","201","5","5","4","0.25","1"
